2846;Falco milvus;Falco milvus Linnaeus, 1758;Milan royal;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2844;Milvus milvus;Milvus milvus (Linnaeus, 1758);Milan royal;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
442085;Morphnus guianensis;Morphnus guianensis (Daudin, 1800);Harpie huppée ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2856;Neophron percnopterus;Neophron percnopterus (Linnaeus, 1758);Vautour percnoptère;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2858;Vultur perenopterus;Vultur perenopterus Linnaeus, 1758;Vautour percnoptère;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2834;Falco apivorus;Falco apivorus Linnaeus, 1758;Bondrée apivore;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2832;Pernis apivorus;Pernis apivorus (Linnaeus, 1758);Bondrée apivore;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
782643;Falco albicollis;Falco albicollis Latham, 1790;Buse blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442034;Leucopternis albicollis;Leucopternis albicollis (Latham, 1790);Buse blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
720289;Pseudastur albicollis;Pseudastur albicollis (Latham, 1790);Buse blanche;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442328;Rostrhamus sociabilis;Rostrhamus sociabilis (Vieillot, 1817);Milan des marais ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
441700;Buteo magnirostris;Buteo magnirostris (Gmelin, 1788);Buse à gros bec;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
782644;Falco magnirostris;Falco magnirostris Gmelin, 1788;Buse à gros bec;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
720294;Rupornis magnirostris;Rupornis magnirostris (Gmelin, 1788);Buse à gros bec;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
782629;Buteo melanoleucus;Buteo melanoleucus Vieillot, 1816;Aigle noir et blanc;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
459528;Spizaetus melanoleucus;Spizaetus melanoleucus (Vieillot, 1816);Aigle noir et blanc;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442363;Spizastur melanoleucus;Spizastur melanoleucus (Vieillot, 1816);Aigle noir et blanc;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442361;Spizaetus ornatus;Spizaetus ornatus (Daudin, 1800);Aigle orné ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
828921;Falco tyrannus;Falco tyrannus Wied-Neuwied, 1820;Aigle tyran ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
442362;Spizaetus tyrannus;Spizaetus tyrannus (Wied-Neuwied, 1820);Aigle tyran ;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
828922;Spizaetus tyrannus serus;Spizaetus tyrannus serus Friedmann, 1950;;Sous-espèce;Chordata;Aves;Accipitriformes;Accipitridae;Terrestre
2867;Aegypius tracheliotus;Aegypius tracheliotus (J. R. Forster, 1791);Vautour oricou;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
459634;Torgos tracheliotos;Torgos tracheliotos (Forster, 1791);Vautour oricou;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2864;Torgos tracheliotus;Torgos tracheliotus (J. R. Forster, 1791);Vautour oricou;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
2866;Vultur tracheliotus;Vultur tracheliotus Forster, 1791;Vautour oricou;Espèce;Chordata;Aves;Accipitriformes;Accipitridae;Continental (Terrestre et/ou Eau douce)
441730;Cathartes aura;Cathartes aura (Linnaeus, 1758);Urubu à tête rouge, Vautour aura, Vautour à tête rouge;Espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
828901;Vultur aura;Vultur aura Linnaeus, 1758;Urubu à tête rouge, Vautour aura, Vautour à tête rouge;Espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
828902;Cathartes aura ruficollis;Cathartes aura ruficollis Spix, 1824;;Sous-espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
441731;Cathartes burrovianus;Cathartes burrovianus Cassin, 1845;Urubu à tête jaune ;Espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
829135;Cathartes burrovianus urubutinga;Cathartes burrovianus urubutinga Pelzeln, 1861;;Sous-espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
441732;Cathartes melambrotus;Cathartes melambrotus Wetmore, 1964;Grand Urubu ;Espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
441816;Coragyps atratus;Coragyps atratus (Bechstein, 1793);Urubu noir ;Espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
828903;Vultur atratus;Vultur atratus Bechstein, 1793;Urubu noir ;Espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
828905;Cathartes brasiliensis;Cathartes brasiliensis Bonaparte, 1850;;Espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
828904;Coragyps atratus brasiliensis;Coragyps atratus brasiliensis (Bonaparte, 1850);;Sous-espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
442337;Sarcoramphus papa;Sarcoramphus papa Linnaeus, 1758;Sarcoramphe roi ;Espèce;Chordata;Aves;Accipitriformes;Cathartidae;Terrestre
2662;Falco haliaetus;Falco haliaetus Linnaeus, 1758;Balbuzard pêcheur;Espèce;Chordata;Aves;Accipitriformes;Pandionidae;Continental (Terrestre et Eau douce)
2660;Pandion haliaetus;Pandion haliaetus (Linnaeus, 1758);Balbuzard pêcheur;Espèce;Chordata;Aves;Accipitriformes;Pandionidae;Continental (Terrestre et Eau douce)
625971;Pandion haliaetus carolinensis;Pandion haliaetus carolinensis (Gmelin, 1788);;Sous-espèce;Chordata;Aves;Accipitriformes;Pandionidae;Terrestre
432705;Pandion haliaetus cristatus;Pandion haliaetus cristatus (Vieillot, 1816);Balbuzard d'Australie, Buse de mer, Aigle pêcheur;Sous-espèce;Chordata;Aves;Accipitriformes;Pandionidae;Continental (Terrestre et/ou Eau douce)
625972;Pandion haliaetus ridgwayi;Pandion haliaetus ridgwayi Maynard, 1887;;Sous-espèce;Chordata;Aves;Accipitriformes;Pandionidae;Terrestre
2776;Aix galericulata;Aix galericulata (Linnaeus, 1758);Canard mandarin;Espèce;Chordata;Aves;Anseriformes;Anatidae;Continental (Terrestre et Eau douce)
2775;Aix sponsa;Aix sponsa (Linnaeus, 1758);Canard carolin, Canard branchu;Espèce;Chordata;Aves;Anseriformes;Anatidae;Continental (Terrestre et Eau douce)
459626;Alopochen aegyptiaca;Alopochen aegyptiaca (Linnaeus, 1766);Ouette d'Égypte, Oie d'Égypte;Espèce;Chordata;Aves;Anseriformes;Anatidae;Continental (Terrestre et Eau douce)
2763;Alopochen aegyptiacus;Alopochen aegyptiacus (Linnaeus, 1766);Ouette d'Égypte, Oie d'Égypte;Espèce;Chordata;Aves;Anseriformes;Anatidae;Continental (Terrestre et Eau douce)
2765;Anas aegyptiaca;Anas aegyptiaca Linnaeus, 1766;Ouette d'Égypte, Oie d'Égypte;Espèce;Chordata;Aves;Anseriformes;Anatidae;Continental (Terrestre et Eau douce)
459616;Alopochen kervazoi;Alopochen kervazoi (G.S. Cowles, 1994);;Espèce;Chordata;Aves;Anseriformes;Anatidae;Continental (Terrestre et Eau douce)
645631;Mascarenachen kervazoi;Mascarenachen kervazoi G.S. Cowles, 1994;;Espèce;Chordata;Aves;Anseriformes;Anatidae;Continental (Terrestre et Eau douce)
1973;Anas acuta;Anas acuta Linnaeus, 1758;Canard pilet;Espèce;Chordata;Aves;Anseriformes;Anatidae;Continental (Terrestre et Eau douce)
